Image,Mean_Brightness,Mode_Brightness,Mean_v1_Count,Mean_v2_Count,Mean_v3_Count,Mean_Total_Defects,Mode_v1_Count,Mode_v2_Count,Mode_v3_Count,Mode_Total_Defects
1_1.jpeg,82.01209008797655,89.0,0,0,0,0,0,2,0,20
1_2.jpeg,82.29824401421624,87.0,1,0,0,1,1,0,0,10
2_1.jpeg,83.92591537389477,93.0,0,0,0,0,0,1,0,10
2_2.jpeg,87.72310193260309,97.0,0,0,0,0,0,1,0,10
