Image,Mean_Brightness,Mode_Brightness,Mean_v1_Count,Mean_v2_Count,Mean_v3_Count,Mean_Total_Defects,Mode_v1_Count,Mode_v2_Count,Mode_v3_Count,Mode_Total_Defects
1_1.jpeg,82.55071861471862,88.0,0,0,0,0,1,0,0,1
1_2.jpeg,82.58970079713825,87.0,1,0,0,1,2,0,0,2
2_1.jpeg,84.03670950533463,96.0,0,0,0,0,0,1,0,1
2_2.jpeg,88.19288527981338,98.0,0,0,0,0,0,1,0,1
3_1.jpeg,68.35501618343166,75.0,0,0,0,0,0,1,0,1
3_2.jpeg,75.74536537348003,79.0,0,0,0,0,0,0,0,0
4_1.jpeg,79.01651852417497,85.0,0,0,0,0,1,0,0,1
4_2.jpeg,80.55849692295708,85.0,0,0,0,0,1,0,0,1
